,title,mp3_url,midi_url,metadata
0,"
	 A a a ardo gorri naparra         
	",https://bdb.bertsozale.eus/common/file/get/32013,https://bdb.bertsozale.eus/common/file/get/24493,"['Lau puntuko berezia', 'ABDE', '7/7/7/7']"
1,"
	 A hor goian etxea         
	",https://bdb.bertsozale.eus/common/file/get/31257,https://bdb.bertsozale.eus/common/file/get/20932,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', '7/6']"
2,"
	 A la fuente vas por agua         
	",https://bdb.bertsozale.eus/common/file/get/31765,https://bdb.bertsozale.eus/common/file/get/25297,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '7/6']"
3,"
	 A mutil kopetilun         / Ai mutil kopetilun      
	",https://bdb.bertsozale.eus/common/file/get/31325,https://bdb.bertsozale.eus/common/file/get/20935,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', '10/3']"
4,"
	 A zer alegrantzia         
	",https://bdb.bertsozale.eus/common/file/get/31781,https://bdb.bertsozale.eus/common/file/get/24901,"['Hamabiko txikia (hg) / Sei puntuko txikia (ip)', 'ABD...', '7/6']"
5,"
	 Añak añetari         
	",https://bdb.bertsozale.eus/common/file/get/31163,https://bdb.bertsozale.eus/common/file/get/18934,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '7/6']"
6,"
	 Abade bat bizi zan         
	",https://bdb.bertsozale.eus/common/file/get/31861,https://bdb.bertsozale.eus/common/file/get/18730,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BA2', '13/13']"
7,"
	 Abbadie jauna zuri         
	",https://bdb.bertsozale.eus/common/file/get/31899,https://bdb.bertsozale.eus/common/file/get/18733,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '7/6']"
8,,,,[]
9,"
	 Abenduan hogeian         
	",https://bdb.bertsozale.eus/common/file/get/31939,https://bdb.bertsozale.eus/common/file/get/18736,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDB', '3/9/1']"
10,"
	 Abenduan hogeita         
	",https://bdb.bertsozale.eus/common/file/get/31976,https://bdb.bertsozale.eus/common/file/get/18739,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDB', '3/9/1']"
11,"
	 Abenduaren lauean         / Ehun libera balio         / Maitiak galdegin zautan   
	",https://bdb.bertsozale.eus/common/file/get/32051,https://bdb.bertsozale.eus/common/file/get/24496,"['Lau puntuko berdina, 8 silabaz', 'ABDE', '8/8/8/8']"
12,"
	 Abenduaren lehendabiziko I         
	",https://bdb.bertsozale.eus/common/file/get/33430,https://bdb.bertsozale.eus/common/file/get/22714,"['Zortziko handia (hg) / Lau puntuko handia (ip)', 'A1A2BA2', '5/5/5/3']"
13,"
	 Abenduaren lehendabiziko II         
	",https://bdb.bertsozale.eus/common/file/get/31591,https://bdb.bertsozale.eus/common/file/get/26227,"['Lauko handia (hg) / Bi puntuko handia (ip)', 'AB', '10/8']"
14,"
	 Abenduaren zazpian I         
	",https://bdb.bertsozale.eus/common/file/get/32090,https://bdb.bertsozale.eus/common/file/get/24499,"['Seikoa, berdinaren moldekoa, 5 puntuz (hg) / Bost puntukoa, berdinaren moldekoa (ip)', 'AADE', '8/8/8/8']"
15,"
	 Abenduaren zazpian II         
	",https://bdb.bertsozale.eus/common/file/get/32126,https://bdb.bertsozale.eus/common/file/get/24502,"['Seikoa, berdinaren moldekoa, 5 puntuz (hg) / Bost puntukoa, berdinaren moldekoa (ip)', 'AABDAA', '8/8/8/8/8']"
16,"
	 Abenduaren zazpian III         / Abenduaren hamarraz      
	",https://bdb.bertsozale.eus/common/file/get/32162,https://bdb.bertsozale.eus/common/file/get/24505,"['Seikoa, berdinaren moldekoa, 5 puntuz (hg) / Bost puntukoa, berdinaren moldekoa (ip)', 'ABDEAB', '8/8/8/8/8']"
17,"
	 Abenduaren zazpian IV         / Sartu ginaden Ziburun      
	",https://bdb.bertsozale.eus/common/file/get/32198,https://bdb.bertsozale.eus/common/file/get/24508,"['Seikoa, berdinaren moldekoa, 4 puntuz (hg) / Lau puntukoa, berdinaren moldekoa (ip)', 'ABDEF', '8/8/8/8/8']"
18,"
	 Abenduko hilaren I         
	",https://bdb.bertsozale.eus/common/file/get/32016,https://bdb.bertsozale.eus/common/file/get/18742,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BD', '6/1/6']"
19,"
	 Abenduko hilaren III         / Artzaiak saltoka      
	",https://bdb.bertsozale.eus/common/file/get/31841,https://bdb.bertsozale.eus/common/file/get/25300,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '7/6']"
20,"
	 Abertitzera noa         
	",https://bdb.bertsozale.eus/common/file/get/32053,https://bdb.bertsozale.eus/common/file/get/18745,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABD', '7/6']"
21,,,,[]
22,"
	 Abiatu da bere bidean         
	",https://bdb.bertsozale.eus/common/file/get/31643,https://bdb.bertsozale.eus/common/file/get/26608,"['Hamarreko handia (hg) / Bost puntuko handia (ip)', 'AABDE', '5/5/5/3']"
23,,,,[]
24,"
	 Adanen pekatuak         
	",https://bdb.bertsozale.eus/common/file/get/32092,https://bdb.bertsozale.eus/common/file/get/18748,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDB', '7/6']"
25,"
	 Adierazo nahi det         / Fueroak      
	",https://bdb.bertsozale.eus/common/file/get/32128,https://bdb.bertsozale.eus/common/file/get/18751,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDA', '7/6']"
26,"
	 Adio ene aita ta ama         / Pelegri airea      
	",https://bdb.bertsozale.eus/common/file/get/32521,https://bdb.bertsozale.eus/common/file/get/21925,"['Lauko handia (hg) / Bi puntuko handia (ip)', 'AB', '4/5/5/2/2']"
27,"
	 Adio Luzaideko         
	",https://bdb.bertsozale.eus/common/file/get/33000,https://bdb.bertsozale.eus/common/file/get/26122,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'ABD1D2B', '7/6']"
28,,,,[]
29,"
	 Adio Sara adio Azkain         
	",https://bdb.bertsozale.eus/common/file/get/30974,https://bdb.bertsozale.eus/common/file/get/22363,"['Seikoa, ertainaren moldekoa, 3 puntuz (hg) / Hiru puntukoa, ertainaren moldekoa (ip)', 'ABD', '4/5/1/4/4']"
30,"
	 Adios aita beraz         
	",https://bdb.bertsozale.eus/common/file/get/32164,https://bdb.bertsozale.eus/common/file/get/18754,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'AABD', '13']"
31,"
	 Adios ene maitia         
	",https://bdb.bertsozale.eus/common/file/get/32238,https://bdb.bertsozale.eus/common/file/get/23758,"['Seiko ertaina (hg) / Hiru puntuko ertaina (ip)', 'ABA', '8/7']"
32,"
	 Adios eskerrik asko         
	",https://bdb.bertsozale.eus/common/file/get/31361,https://bdb.bertsozale.eus/common/file/get/25825,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', '7/6']"
33,"
	 Adios Galarraga         / Galarragako kantoria      
	",https://bdb.bertsozale.eus/common/file/get/31012,https://bdb.bertsozale.eus/common/file/get/23866,"['Zortziko ertaina (hg) / Lau puntuko ertaina (ip)', 'A1A2BA2', '8/7']"
34,"
	 Adios izar eder         
	",https://bdb.bertsozale.eus/common/file/get/32237,https://bdb.bertsozale.eus/common/file/get/18757,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BA', '13']"
35,"
	 Adios izar ederra         / Sotoko oporra         / Aitak eman zerautan   
	",https://bdb.bertsozale.eus/common/file/get/32275,https://bdb.bertsozale.eus/common/file/get/18760,"['Zortzikoa, txikiaren modekoa, 4 puntuz (hg) / Lau puntukoa, txikiaren modekoa (ip)', 'A1A2BA2', '7/6']"
36,,,,[]
