title,mp3_url,midi_url,Mota,Errima,Silabak
"
	 A la fuente vas por agua         
	",https://bdb.bertsozale.eus/common/file/get/31765,https://bdb.bertsozale.eus/common/file/get/25297,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Añak añetari         
	",https://bdb.bertsozale.eus/common/file/get/31163,https://bdb.bertsozale.eus/common/file/get/18934,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Abbadie jauna zuri         
	",https://bdb.bertsozale.eus/common/file/get/31899,https://bdb.bertsozale.eus/common/file/get/18733,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Abenduko hilaren III         / Artzaiak saltoka      
	",https://bdb.bertsozale.eus/common/file/get/31841,https://bdb.bertsozale.eus/common/file/get/25300,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Agur Jesusen ama I         
	",https://bdb.bertsozale.eus/common/file/get/32724,https://bdb.bertsozale.eus/common/file/get/18793,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Agur zeruko ama         
	",https://bdb.bertsozale.eus/common/file/get/32835,https://bdb.bertsozale.eus/common/file/get/18802,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Ai Peru Peru Peru         
	",https://bdb.bertsozale.eus/common/file/get/31958,https://bdb.bertsozale.eus/common/file/get/25309,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Aingeruzko lirio         / Ama maite Maria III      
	",https://bdb.bertsozale.eus/common/file/get/33304,https://bdb.bertsozale.eus/common/file/get/18835,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Aixa altxatu zuten         
	",https://bdb.bertsozale.eus/common/file/get/32072,https://bdb.bertsozale.eus/common/file/get/25318,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Aldaketa asko dira         
	",https://bdb.bertsozale.eus/common/file/get/31190,https://bdb.bertsozale.eus/common/file/get/18883,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Allitik ekarri du II         
	",https://bdb.bertsozale.eus/common/file/get/32255,https://bdb.bertsozale.eus/common/file/get/25330,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
